id,nom,numéro de voie,lon,lat,horaires,notes
1,CASO,129 Avenue de Toulon 13005 Marseille,5.3934025,43.2849806,Lundi 13h30-15h30 / Mercredi et vendredi 9h-11h,Arriver très tôt
2,Pass Adulte,156 Rue St Pierre 13005 Marseille,5.39669,43.292123,Mercredi et vendredi à partir de 9h,Arriver très tôt
3,Pass Dentaire,"264 Rue St Pierre 13005, Marseille",5.402648,43.291834,Lundi et jeudi à partir de 9h,Arriver très tôt. Demander Laurence Masson (AS)
4,Planning Familial,106 Boulevard National 13003 Marseille,5.382995,43.3066991,"Mardi, mercredi et vendredi 14h-18h / Vendredi 14h-17h","Écoute 14h-18h, dépistage vendredi 14h-17h"
5,Comede,52 Rue du Coq 13001 Marseille,5.3869558,43.301466,Mardi 8h-12h,Permanences d'accompagnement au soin
